instauracao;sr;uf;competencia;Indiciamentos;Indiciados;relatorio;duracao
21/09/2016;SR/PF/SP;SP;DELEFAZ;1;1;15/02/2018;512
16/11/2016;SR/PF/GO;GO;DELEFAZ;1;1;15/02/2018;456
04/03/2017;DPF/FIG/PR;PR;DELEFAZ;2;2;15/02/2018;348
16/03/2017;SR/PF/PI;PI;DELEFAZ;1;1;15/02/2018;336
16/03/2017;SR/PF/PI;PI;DELEFAZ;1;1;15/02/2018;336
04/05/2017;DEAER/SR/DPF/SP;SP;DELEFAZ;1;1;15/02/2018;287
11/07/2017;DPF/PAT/PB;PB;DELEFAZ;1;1;15/02/2018;219
13/07/2017;DPF/FIG/PR;PR;DELEFAZ;3;3;15/02/2018;217
03/08/2017;DPF/CAC/PR;PR;DELEFAZ;1;1;15/02/2018;196
15/08/2017;DPF/SAG/RS;RS;DELEFAZ;1;1;15/02/2018;184
07/09/2017;DPF/CAC/PR;PR;DELEFAZ;1;1;15/02/2018;161
22/09/2017;DPF/XAP/SC;SC;DELEFAZ;5;2;15/02/2018;146
27/09/2017;DPF/CAC/PR;PR;DELEFAZ;1;1;15/02/2018;141
01/10/2017;DPF/URA/MG;MG;DELEFAZ;1;1;15/02/2018;137
17/10/2017;DPF/CZO/SP;SP;DELEFAZ;1;1;15/02/2018;121
25/10/2017;DPF/BRG/MT;MT;DELEFAZ;1;1;15/02/2018;113
20/11/2017;DPF/MGA/PR;PR;DELEFAZ;1;1;15/02/2018;87
04/01/2018;DPF/PGZ/PR;PR;DELEFAZ;1;1;15/02/2018;42
08/01/2018;DPF/PPA/MS;MS;DELEFAZ;2;2;15/02/2018;38
29/01/2018;DPF/DVS/MG;MG;DELEFAZ;1;1;15/02/2018;17
29/01/2018;DPF/DVS/MG;MG;DELEFAZ;1;1;15/02/2018;17
29/01/2018;DPF/DVS/MG;MG;DELEFAZ;1;1;15/02/2018;17
02/02/2018;DPF/GMI/RO;RO;DELEFAZ;2;2;15/02/2018;13
03/02/2018;SR/PF/MG;MG;DELEFAZ;2;2;15/02/2018;12
03/02/2018;DPF/LGE/SC;SC;DELEFAZ;2;2;15/02/2018;12
05/02/2018;DPF/CGE/PB;PB;DELEFAZ;1;1;15/02/2018;10
14/03/2013;SR/PF/CE;CE;DELEFAZ;2;2;16/02/2018;1800
19/06/2013;SR/DPF/DF;DF;DELEFAZ;1;1;16/02/2018;1703
16/09/2014;DPF/PSO/BA;BA;DELEFAZ;1;1;16/02/2018;1249
19/06/2015;DPF/LIV/RS;RS;DELEFAZ;1;1;16/02/2018;973
30/06/2015;DPF/JVE/SC;SC;DELEFAZ;3;3;16/02/2018;962
18/09/2015;DPF/PNG/PR;PR;DELEFAZ;2;1;16/02/2018;882
06/10/2015;SR/PF/MG;MG;DELEFAZ;1;1;16/02/2018;864
16/08/2016;SR/PF/PR;PR;DELEFAZ;2;2;16/02/2018;549
14/09/2016;DPF/LDA/PR;PR;DELEFAZ;1;1;16/02/2018;520
16/09/2016;DPF/RGE/RS;RS;DELEFAZ;5;4;16/02/2018;518
21/09/2016;SR/PF/BA;BA;DELEFAZ;1;1;16/02/2018;513
03/11/2016;SR/DPF/SC;SC;DELEFAZ;1;1;16/02/2018;470
16/12/2016;DPF/NVI/MS;MS;DELEFAZ;1;1;16/02/2018;427
28/12/2016;SR/DPF/RS;RS;DELEFAZ;1;1;16/02/2018;415
23/01/2017;DPF/XAP/SC;SC;DELEFAZ;1;1;16/02/2018;389
18/02/2017;SR/PF/MG;MG;DELEFAZ;2;2;16/02/2018;363
23/02/2017;DPF/JVE/SC;SC;DELEFAZ;1;1;16/02/2018;358
16/03/2017;SR/PF/PI;PI;DELEFAZ;1;1;16/02/2018;337
22/06/2017;DPF/CAS/SP;SP;DELEFAZ;1;1;16/02/2018;239
28/06/2017;DPF/RGE/RS;RS;DELEFAZ;1;1;16/02/2018;233
30/06/2017;DPF/PGZ/PR;PR;DELEFAZ;1;1;16/02/2018;231
07/07/2017;DPF/LDA/PR;PR;DELEFAZ;1;1;16/02/2018;224
19/07/2017;DPF/CAC/PR;PR;DELEFAZ;1;1;16/02/2018;212
03/08/2017;DPF/CCM/SC;SC;DELEFAZ;2;2;16/02/2018;197
03/08/2017;DPF/CCM/SC;SC;DELEFAZ;2;2;16/02/2018;197
26/08/2017;DPF/FIG/PR;PR;DELEFAZ;1;1;16/02/2018;174
16/09/2017;SR/PF/AL;AL;DELEFAZ;1;1;16/02/2018;153
18/09/2017;DPF/CAC/PR;PR;DELEFAZ;1;1;16/02/2018;151
05/10/2017;DPF/PGZ/PR;PR;DELEFAZ;1;1;16/02/2018;134
17/10/2017;DPF/CAC/PR;PR;DELEFAZ;1;1;16/02/2018;122
27/10/2017;SR/PF/PR;PR;DELEFAZ;1;1;16/02/2018;112
28/10/2017;DPF/CAC/PR;PR;DELEFAZ;3;3;16/02/2018;111
06/11/2017;DPF/DVS/MG;MG;DELEFAZ;1;1;16/02/2018;102
22/11/2017;DPF/PPA/MS;MS;DELEFAZ;1;1;16/02/2018;86
29/01/2018;DPF/DVS/MG;MG;DELEFAZ;1;1;16/02/2018;18
29/01/2018;DPF/DVS/MG;MG;DELEFAZ;1;1;16/02/2018;18
29/01/2018;DPF/DVS/MG;MG;DELEFAZ;1;1;16/02/2018;18
29/01/2018;DPF/DVS/MG;MG;DELEFAZ;1;1;16/02/2018;18
29/01/2018;DPF/DVS/MG;MG;DELEFAZ;1;1;16/02/2018;18
29/01/2018;DPF/DVS/MG;MG;DELEFAZ;1;1;16/02/2018;18
29/01/2018;DPF/DVS/MG;MG;DELEFAZ;1;1;16/02/2018;18
29/01/2018;DPF/DVS/MG;MG;DELEFAZ;1;1;16/02/2018;18
06/02/2018;DPF/IJI/SC;SC;DELEFAZ;3;3;16/02/2018;10
29/10/2017;DPF/TLS/MS;MS;DELEFAZ;1;1;17/02/2018;111
19/01/2018;DPF/CAC/PR;PR;DELEFAZ;1;1;17/02/2018;29
13/02/2018;SR/DPF/SC;SC;DELEFAZ;1;1;17/02/2018;4
15/03/2017;SR/PF/PI;PI;DELEFAZ;1;1;18/02/2018;340
16/03/2017;SR/PF/PI;PI;DELEFAZ;1;1;18/02/2018;339
17/03/2017;SR/PF/PI;PI;DELEFAZ;1;1;18/02/2018;338
03/04/2017;SR/PF/PI;PI;DELEFAZ;1;1;18/02/2018;321
02/05/2013;DPF/JZO/BA;BA;DELEFAZ;2;2;19/02/2018;1754
28/09/2015;DPF/SOD/SP;SP;DELEFAZ;15;3;19/02/2018;875
10/11/2015;DPF/STS/SP;SP;DELEFAZ;4;4;19/02/2018;832
31/12/2015;DPF/JFA/MG;MG;DELEFAZ;1;1;19/02/2018;781
11/05/2016;DPF/BGE/RS;RS;DELEFAZ;1;1;19/02/2018;649
11/05/2016;DPF/BGE/RS;RS;DELEFAZ;1;1;19/02/2018;649
24/06/2016;SR/DPF/RS;RS;DELEFAZ;1;1;19/02/2018;605
27/08/2016;DEAIN/SR/SP;SP;DELEFAZ;1;1;19/02/2018;541
02/12/2016;SR/PF/MG;MG;DELEFAZ;1;1;19/02/2018;444
02/03/2017;SR/DPF/RS;RS;DELEFAZ;2;2;19/02/2018;354
24/05/2017;SR/PF/PE;PE;DELEFAZ;1;1;19/02/2018;271
19/06/2017;DPF/MII/SP;SP;DELEFAZ;1;1;19/02/2018;245
20/06/2017;DPF/CAS/SP;SP;DELEFAZ;1;1;19/02/2018;244
24/07/2017;DPF/CAC/PR;PR;DELEFAZ;1;1;19/02/2018;210
25/08/2017;DPF/CCM/SC;SC;DELEFAZ;1;1;19/02/2018;178
31/08/2017;DPF/FIG/PR;PR;DELEFAZ;1;1;19/02/2018;172
19/09/2017;SR/DPF/SC;SC;DELEFAZ;1;1;19/02/2018;153
15/11/2017;DPF/PPA/MS;MS;DELEFAZ;1;1;19/02/2018;96
17/11/2017;SR/PF/GO;GO;DELEFAZ;1;1;19/02/2018;94
23/11/2017;SR/PF/PR;PR;DELEFAZ;1;1;19/02/2018;88
08/12/2017;SR/DPF/ES;ES;DELEFAZ;1;1;19/02/2018;73
09/01/2018;DPF/RDO/PA;PA;DELEFAZ;2;2;19/02/2018;41
23/01/2018;DPF/SOD/SP;SP;DELEFAZ;4;4;19/02/2018;27
29/01/2018;DPF/DVS/MG;MG;DELEFAZ;1;1;19/02/2018;21
29/01/2018;DPF/DVS/MG;MG;DELEFAZ;1;1;19/02/2018;21
06/02/2018;SR/PF/PA;PA;DELEFAZ;1;1;19/02/2018;13
06/02/2018;SR/DPF/RJ;RJ;DELEFAZ;1;1;19/02/2018;13
07/02/2018;DPF/MII/SP;SP;DELEFAZ;1;1;19/02/2018;12
07/02/2018;DPF/STS/SP;SP;DELEFAZ;1;1;19/02/2018;12
12/02/2018;SR/PF/MG;MG;DELEFAZ;1;1;19/02/2018;7
12/02/2018;SR/PF/PA;PA;DELEFAZ;1;1;19/02/2018;7
24/03/2010;SR/PF/PR;PR;DELEFAZ;12;12;20/02/2018;2890
20/07/2012;DPF/SNM/PA;PA;DELEFAZ;11;10;20/02/2018;2041
27/05/2013;SR/PF/SP;SP;DELEFAZ;1;1;20/02/2018;1730
12/08/2013;SR/PF/MG;MG;DELEFAZ;2;1;20/02/2018;1653
26/08/2014;DPF/CRU/PE;PE;DELEFAZ;2;2;20/02/2018;1274
23/10/2014;DPF/CRU/PE;PE;DELEFAZ;1;1;20/02/2018;1216
27/10/2014;SR/PF/BA;BA;DELEFAZ;1;1;20/02/2018;1212
26/11/2014;DPF/SJK/SP;SP;DELEFAZ;2;2;20/02/2018;1182
16/04/2015;DPF/BRU/SP;SP;DELEFAZ;1;1;20/02/2018;1041
29/06/2015;SR/PF/RN;RN;DELEFAZ;1;1;20/02/2018;967
20/07/2015;SR/PF/SP;SP;DELEFAZ;1;1;20/02/2018;946
26/01/2016;SR/PF/RO;RO;DELEFAZ;2;2;20/02/2018;756
23/03/2016;DPF/JFA/MG;MG;DELEFAZ;1;1;20/02/2018;699
30/03/2016;DPF/VAG/MG;MG;DELEFAZ;1;1;20/02/2018;692
30/03/2016;DPF/PDE/SP;SP;DELEFAZ;2;2;20/02/2018;692
04/07/2016;DPF/AGA/TO;TO;DELEFAZ;1;1;20/02/2018;596
05/08/2016;DPF/DVS/MG;MG;DELEFAZ;2;2;20/02/2018;564
13/09/2016;DPF/EPA/AC;AC;DELEFAZ;3;2;20/02/2018;525
21/10/2016;DPF/CAS/SP;SP;DELEFAZ;1;1;20/02/2018;487
03/11/2016;SR/PF/AP;AP;DELEFAZ;2;2;20/02/2018;474
04/11/2016;DPF/LGE/SC;SC;DELEFAZ;3;3;20/02/2018;473
28/11/2016;SR/DPF/RS;RS;DELEFAZ;1;1;20/02/2018;449
02/12/2016;SR/PF/SP;SP;DELEFAZ;1;1;20/02/2018;445
06/12/2016;DPF/RGE/RS;RS;DELEFAZ;1;1;20/02/2018;441
22/12/2016;SR/PF/AL;AL;DELEFAZ;2;2;20/02/2018;425
02/02/2017;DPF/DCQ/SC;SC;DELEFAZ;2;2;20/02/2018;383
03/04/2017;DPF/CXS/RS;RS;DELEFAZ;2;2;20/02/2018;323
10/05/2017;DPF/ROO/MT;MT;DELEFAZ;19;14;20/02/2018;286
29/05/2017;SR/PF/TO;TO;DELEFAZ;1;1;20/02/2018;267
09/06/2017;DPF/FIG/PR;PR;DELEFAZ;1;1;20/02/2018;256
27/06/2017;DPF/URA/MG;MG;DELEFAZ;1;2;20/02/2018;238
28/07/2017;DPF/CCM/SC;SC;DELEFAZ;1;1;20/02/2018;207
03/08/2017;DPF/IJI/SC;SC;DELEFAZ;1;1;20/02/2018;201
25/08/2017;DPF/DCQ/SC;SC;DELEFAZ;1;1;20/02/2018;179
29/08/2017;SR/PF/GO;GO;DELEFAZ;1;1;20/02/2018;175
30/08/2017;DPF/FIG/PR;PR;DELEFAZ;1;1;20/02/2018;174
15/09/2017;DPF/URA/MG;MG;DELEFAZ;1;1;20/02/2018;158
06/10/2017;SR/DPF/DF;DF;DELEFAZ;1;1;20/02/2018;137
09/10/2017;DPF/SCS/RS;RS;DELEFAZ;3;4;20/02/2018;134
03/11/2017;SR/PF/GO;GO;DELEFAZ;3;3;20/02/2018;109
20/12/2017;DPF/ANS/GO;GO;DELEFAZ;5;5;20/02/2018;62
22/12/2017;DPF/VDC/BA;BA;DELEFAZ;1;1;20/02/2018;60
24/12/2017;DPF/VDC/BA;BA;DELEFAZ;1;1;20/02/2018;58
14/01/2018;SR/DPF/DF;DF;DELEFAZ;1;1;20/02/2018;37
23/01/2018;DPF/GRA/PR;PR;DELEFAZ;1;1;20/02/2018;28
07/02/2018;DPF/CRA/MS;MS;DELEFAZ;1;1;20/02/2018;13
13/02/2018;SR/PF/RN;RN;DELEFAZ;1;1;20/02/2018;7
15/02/2018;SR/PF/PE;PE;DELEFAZ;1;1;20/02/2018;5
27/04/2011;SR/PF/SE;SE;DELEFAZ;1;1;21/02/2018;2492
19/02/2013;SR/PF/SE;SE;DELEFAZ;1;1;21/02/2018;1828
04/03/2015;SR/PF/MT;MT;DELEFAZ;2;2;21/02/2018;1085
30/04/2015;DPF/SAG/RS;RS;DELEFAZ;1;1;21/02/2018;1028
25/01/2016;SR/PF/MG;MG;DELEFAZ;1;1;21/02/2018;758
05/05/2016;DPF/RDO/PA;PA;DELEFAZ;1;1;21/02/2018;657
21/09/2016;DPF/MII/SP;SP;DELEFAZ;1;1;21/02/2018;518
10/10/2016;DPF/UDI/MG;MG;DELEFAZ;1;1;21/02/2018;499
23/01/2017;DPF/SCS/RS;RS;DELEFAZ;3;3;21/02/2018;394
09/02/2017;DPF/PFO/RS;RS;DELEFAZ;2;2;21/02/2018;377
05/04/2017;DPF/LDA/PR;PR;DELEFAZ;1;1;21/02/2018;322
27/04/2017;DPF/DVS/MG;MG;DELEFAZ;1;1;21/02/2018;300
29/05/2017;DPF/AQA/SP;SP;DELEFAZ;1;1;21/02/2018;268
26/06/2017;DPF/DCQ/SC;SC;DELEFAZ;1;1;21/02/2018;240
03/07/2017;DPF/BGE/RS;RS;DELEFAZ;1;1;21/02/2018;233
03/07/2017;DPF/BRU/SP;SP;DELEFAZ;1;1;21/02/2018;233
12/07/2017;DPF/CAC/PR;PR;DELEFAZ;3;3;21/02/2018;224
28/07/2017;DPF/CAC/PR;PR;DELEFAZ;2;2;21/02/2018;208
01/08/2017;DPF/CXS/RS;RS;DELEFAZ;2;2;21/02/2018;204
14/08/2017;DPF/AQA/SP;SP;DELEFAZ;1;1;21/02/2018;191
06/11/2017;DPF/DVS/MG;MG;DELEFAZ;1;1;21/02/2018;107
06/11/2017;DPF/DVS/MG;MG;DELEFAZ;1;1;21/02/2018;107
16/11/2017;DPF/SAG/RS;RS;DELEFAZ;1;1;21/02/2018;97
21/12/2017;DPF/VDC/BA;BA;DELEFAZ;1;1;21/02/2018;62
22/12/2017;DPF/CXS/RS;RS;DELEFAZ;1;1;21/02/2018;61
07/02/2018;SR/PF/PB;PB;DELEFAZ;1;1;21/02/2018;14
09/02/2018;DPF/ROO/MT;MT;DELEFAZ;2;2;21/02/2018;12
10/02/2018;DPF/ROO/MT;MT;DELEFAZ;2;2;21/02/2018;11
12/02/2018;DPF/UDI/MG;MG;DELEFAZ;1;1;21/02/2018;9
15/02/2018;SR/PF/GO;GO;DELEFAZ;2;2;21/02/2018;6
15/02/2018;SR/PF/GO;GO;DELEFAZ;1;1;21/02/2018;6
16/02/2018;SR/PF/AM;AM;DELEFAZ;2;2;21/02/2018;5
19/02/2018;DPF/TLS/MS;MS;DELEFAZ;1;1;21/02/2018;2
20/02/2018;SR/PF/PB;PB;DELEFAZ;1;1;21/02/2018;1
09/04/2012;DPF/CRU/PE;PE;DELEFAZ;1;1;22/02/2018;2145
09/04/2012;DPF/CRU/PE;PE;DELEFAZ;1;1;22/02/2018;2145
17/12/2012;DPF/CRU/PE;PE;DELEFAZ;1;1;22/02/2018;1893
07/02/2013;SR/PF/AL;AL;DELEFAZ;3;3;22/02/2018;1841
29/10/2013;SR/PF/SP;SP;DELEFAZ;1;1;22/02/2018;1577
04/04/2014;SR/PF/SE;SE;DELEFAZ;1;1;22/02/2018;1420
25/06/2014;DPF/FIG/PR;PR;DELEFAZ;1;1;22/02/2018;1338
07/10/2014;SR/PF/SE;SE;DELEFAZ;1;1;22/02/2018;1234
31/10/2014;DPF/JFA/MG;MG;DELEFAZ;2;2;22/02/2018;1210
05/11/2014;DPF/SAG/RS;RS;DELEFAZ;3;3;22/02/2018;1205
24/09/2015;SR/DPF/ES;ES;DELEFAZ;2;2;22/02/2018;882
18/11/2015;SR/PF/SP;SP;DELEFAZ;1;1;22/02/2018;827
14/04/2016;SR/PF/SP;SP;DELEFAZ;1;1;22/02/2018;679
20/09/2016;SR/PF/MG;MG;DELEFAZ;2;2;22/02/2018;520
12/10/2016;DPF/SOD/SP;SP;DELEFAZ;1;1;22/02/2018;498
16/01/2017;DPF/JZO/BA;BA;DELEFAZ;1;1;22/02/2018;402
20/01/2017;DPF/SAG/RS;RS;DELEFAZ;1;1;22/02/2018;398
01/02/2017;DPF/JLS/SP;SP;DELEFAZ;2;2;22/02/2018;386
03/05/2017;DPF/IJI/SC;SC;DELEFAZ;2;2;22/02/2018;295
17/05/2017;DPF/PPA/MS;MS;DELEFAZ;1;1;22/02/2018;281
01/06/2017;DPF/IJI/SC;SC;DELEFAZ;1;1;22/02/2018;266
11/06/2017;DPF/CAC/PR;PR;DELEFAZ;3;3;22/02/2018;256
14/12/2017;DPF/PTS/RS;RS;DELEFAZ;1;1;22/02/2018;70
28/12/2017;DPF/PDE/SP;SP;DELEFAZ;2;2;22/02/2018;56
19/01/2018;DPF/UDI/MG;MG;DELEFAZ;1;1;22/02/2018;34
24/01/2018;DPF/PTS/RS;RS;DELEFAZ;1;1;22/02/2018;29
31/01/2018;DPF/NVI/MS;MS;DELEFAZ;1;1;22/02/2018;22
08/02/2018;SR/DPF/ES;ES;DELEFAZ;2;2;22/02/2018;14
14/02/2018;DPF/URA/MG;MG;DELEFAZ;1;1;22/02/2018;8
20/02/2018;SR/PF/RO;RO;DELEFAZ;1;1;22/02/2018;2
09/11/2010;SR/PF/CE;CE;DELEFAZ;4;4;23/02/2018;2663
12/01/2016;DPF/JFA/MG;MG;DELEFAZ;1;1;23/02/2018;773
25/07/2016;SR/PF/PR;PR;DELEFAZ;1;1;23/02/2018;578
26/04/2017;DPF/SJK/SP;SP;DELEFAZ;2;2;23/02/2018;303
06/06/2017;SR/PF/PR;PR;DELEFAZ;1;1;23/02/2018;262
27/06/2017;DPF/FIG/PR;PR;DELEFAZ;1;1;23/02/2018;241
11/07/2017;DPF/CCM/SC;SC;DELEFAZ;2;3;23/02/2018;227
28/12/2017;DPF/VAG/MG;MG;DELEFAZ;1;1;23/02/2018;57
24/01/2018;DPF/XAP/SC;SC;DELEFAZ;1;1;23/02/2018;30
26/01/2018;DPF/GRA/PR;PR;DELEFAZ;1;1;23/02/2018;28
09/02/2018;SR/PF/PR;PR;DELEFAZ;4;4;23/02/2018;14
11/02/2018;SR/PF/MG;MG;DELEFAZ;1;1;23/02/2018;12
12/02/2018;DEAIN/SR/SP;SP;DELEFAZ;1;1;24/02/2018;12
10/05/2012;SR/PF/AL;AL;DELEFAZ;1;1;26/02/2018;2118
06/06/2012;SR/PF/MA;MA;DELEFAZ;1;1;26/02/2018;2091
19/09/2013;SR/PF/PA;PA;DELEFAZ;1;1;26/02/2018;1621
11/03/2014;SR/PF/GO;GO;DELEFAZ;2;1;26/02/2018;1448
20/08/2014;SR/PF/SP;SP;DELEFAZ;2;2;26/02/2018;1286
13/10/2014;DPF/MII/SP;SP;DELEFAZ;2;2;26/02/2018;1232
13/11/2014;DPF/MOS/RN;RN;DELEFAZ;1;1;26/02/2018;1201
19/02/2015;DPF/CIT/ES;ES;DELEFAZ;1;1;26/02/2018;1103
22/12/2015;SR/PF/AL;AL;DELEFAZ;1;1;26/02/2018;797
27/01/2016;DPF/RPO/SP;SP;DELEFAZ;1;1;26/02/2018;761
03/08/2016;DPF/SOD/SP;SP;DELEFAZ;1;1;26/02/2018;572
09/09/2016;DPF/LGE/SC;SC;DELEFAZ;1;1;26/02/2018;535
04/11/2016;SR/PF/PE;PE;DELEFAZ;1;1;26/02/2018;479
17/06/2017;SR/DPF/DF;DF;DELEFAZ;2;2;26/02/2018;254
11/07/2017;DPF/IJI/SC;SC;DELEFAZ;1;1;26/02/2018;230
01/08/2017;SR/PF/PR;PR;DELEFAZ;1;1;26/02/2018;209
01/08/2017;DPF/RPO/SP;SP;DELEFAZ;1;1;26/02/2018;209
14/09/2017;DPF/GOY/RJ;RJ;DELEFAZ;2;2;26/02/2018;165
05/10/2017;DPF/PTS/RS;RS;DELEFAZ;1;1;26/02/2018;144
26/10/2017;DPF/UDI/MG;MG;DELEFAZ;9;9;26/02/2018;123
26/01/2018;SR/PF/TO;TO;DELEFAZ;1;1;26/02/2018;31
27/01/2018;DPF/GVS/MG;MG;DELEFAZ;1;1;26/02/2018;30
28/01/2018;DPF/GVS/MG;MG;DELEFAZ;1;1;26/02/2018;29
30/01/2018;DPF/PDE/SP;SP;DELEFAZ;1;1;26/02/2018;27
02/02/2018;DPF/CAS/SP;SP;DELEFAZ;1;1;26/02/2018;24
15/02/2018;DPF/FIG/PR;PR;DELEFAZ;1;1;26/02/2018;11
15/02/2018;SR/PF/PR;PR;DELEFAZ;1;1;26/02/2018;11
15/02/2018;DPF/RPO/SP;SP;DELEFAZ;1;1;26/02/2018;11
16/02/2018;SR/PF/MT;MT;DELEFAZ;1;1;26/02/2018;10
19/02/2013;SR/PF/SE;SE;DELEFAZ;3;3;27/02/2018;1834
13/10/2014;DPF/LDA/PR;PR;DELEFAZ;2;2;27/02/2018;1233
13/04/2015;DPF/RPO/SP;SP;DELEFAZ;2;2;27/02/2018;1051
27/05/2015;SR/PF/RN;RN;DELEFAZ;1;1;27/02/2018;1007
05/06/2015;SR/PF/RN;RN;DELEFAZ;1;1;27/02/2018;998
12/08/2015;DPF/RPO/SP;SP;DELEFAZ;3;3;27/02/2018;930
13/10/2015;SR/PF/PE;PE;DELEFAZ;1;1;27/02/2018;868
09/01/2016;DPF/ROO/MT;MT;DELEFAZ;1;1;27/02/2018;780
20/01/2016;DPF/UDI/MG;MG;DELEFAZ;1;1;27/02/2018;769
29/04/2016;DPF/ILS/BA;BA;DELEFAZ;4;4;27/02/2018;669
29/06/2016;DPF/LIV/RS;RS;DELEFAZ;1;1;27/02/2018;608
31/08/2016;SR/PF/MG;MG;DELEFAZ;1;1;27/02/2018;545
02/12/2016;SR/PF/SP;SP;DELEFAZ;1;1;27/02/2018;452
21/12/2016;SR/DPF/RS;RS;DELEFAZ;2;2;27/02/2018;433
23/12/2016;SR/PF/BA;BA;DELEFAZ;1;1;27/02/2018;431
24/01/2017;SR/PF/AL;AL;DELEFAZ;2;2;27/02/2018;399
03/02/2017;DPF/ILS/BA;BA;DELEFAZ;1;1;27/02/2018;389
03/03/2017;DPF/SOD/SP;SP;DELEFAZ;1;1;27/02/2018;361
06/03/2017;SR/DPF/DF;DF;DELEFAZ;1;1;27/02/2018;358
14/03/2017;DPF/ILS/BA;BA;DELEFAZ;1;1;27/02/2018;350
17/05/2017;DPF/GPB/PR;PR;DELEFAZ;1;1;27/02/2018;286
30/05/2017;DPF/UDI/MG;MG;DELEFAZ;1;1;27/02/2018;273
26/06/2017;DPF/GOY/RJ;RJ;DELEFAZ;1;1;27/02/2018;246
12/07/2017;DPF/ARS/RJ;RJ;DELEFAZ;1;1;27/02/2018;230
05/08/2017;DPF/ROO/MT;MT;DELEFAZ;1;1;27/02/2018;206
22/08/2017;DPF/SOD/SP;SP;DELEFAZ;1;1;27/02/2018;189
20/09/2017;SR/PF/PR;PR;DELEFAZ;1;1;27/02/2018;160
22/09/2017;DPF/JFA/MG;MG;DELEFAZ;1;2;27/02/2018;158
29/09/2017;SR/DPF/ES;ES;DELEFAZ;2;2;27/02/2018;151
06/11/2017;SR/DPF/RS;RS;DELEFAZ;1;1;27/02/2018;113
05/12/2017;DPF/UDI/MG;MG;DELEFAZ;1;1;27/02/2018;84
29/01/2018;DPF/PPA/MS;MS;DELEFAZ;1;1;27/02/2018;29
15/02/2018;DPF/PPA/MS;MS;DELEFAZ;3;3;27/02/2018;12
15/02/2018;SR/PF/PR;PR;DELEFAZ;1;1;27/02/2018;12
16/02/2018;DPF/NRI/RJ;RJ;DELEFAZ;2;2;27/02/2018;11
18/02/2018;SR/DPF/DF;DF;DELEFAZ;1;3;27/02/2018;9
18/07/2012;DPF/URA/MG;MG;DELEFAZ;1;1;28/02/2018;2051
21/08/2012;SR/PF/SP;SP;DELEFAZ;1;1;28/02/2018;2017
19/11/2012;SR/PF/AP;AP;DELEFAZ;1;1;28/02/2018;1927
02/06/2014;SR/PF/CE;CE;DELEFAZ;1;1;28/02/2018;1367
04/06/2014;SR/PF/MA;MA;DELEFAZ;2;2;28/02/2018;1365
31/07/2014;DPF/ILS/BA;BA;DELEFAZ;1;1;28/02/2018;1308
13/03/2015;DPF/EPA/AC;AC;DELEFAZ;10;10;28/02/2018;1083
30/04/2015;SR/PF/SP;SP;DELEFAZ;1;1;28/02/2018;1035
07/07/2015;DPF/MII/SP;SP;DELEFAZ;1;1;28/02/2018;967
04/08/2015;DPF/PNG/PR;PR;DELEFAZ;2;2;28/02/2018;939
20/06/2016;DPF/FIG/PR;PR;DELEFAZ;1;1;28/02/2018;618
26/08/2016;DPF/JVE/SC;SC;DELEFAZ;3;4;28/02/2018;551
24/01/2017;DPF/XAP/SC;SC;DELEFAZ;2;2;28/02/2018;400
27/03/2017;DPF/MOC/MG;MG;DELEFAZ;1;1;28/02/2018;338
06/04/2017;DPF/DVS/MG;MG;DELEFAZ;1;1;28/02/2018;328
11/04/2017;DPF/MGA/PR;PR;DELEFAZ;1;1;28/02/2018;323
25/04/2017;SR/PF/MA;MA;DELEFAZ;1;1;28/02/2018;309
12/05/2017;DPF/ROO/MT;MT;DELEFAZ;4;4;28/02/2018;292
18/05/2017;DPF/JPN/RO;RO;DELEFAZ;1;1;28/02/2018;286
02/06/2017;DPF/FIG/PR;PR;DELEFAZ;1;1;28/02/2018;271
04/08/2017;DPF/UDI/MG;MG;DELEFAZ;1;1;28/02/2018;208
04/08/2017;DPF/LDA/PR;PR;DELEFAZ;1;1;28/02/2018;208
23/08/2017;DPF/IJI/SC;SC;DELEFAZ;2;2;28/02/2018;189
17/09/2017;DPF/GPB/PR;PR;DELEFAZ;1;1;28/02/2018;164
26/09/2017;DPF/RPO/SP;SP;DELEFAZ;1;1;28/02/2018;155
27/09/2017;SR/PF/MT;MT;DELEFAZ;1;1;28/02/2018;154
12/12/2017;DPF/DCQ/SC;SC;DELEFAZ;1;1;28/02/2018;78
07/01/2018;DPF/LGE/SC;SC;DELEFAZ;1;1;28/02/2018;52
09/01/2018;DPF/LGE/SC;SC;DELEFAZ;3;3;28/02/2018;50
25/01/2018;DPF/CCM/SC;SC;DELEFAZ;1;1;28/02/2018;34
26/01/2018;DPF/GVS/MG;MG;DELEFAZ;2;2;28/02/2018;33
29/01/2018;DPF/PAC/RR;RR;DELEFAZ;2;2;28/02/2018;30
30/01/2018;DPF/URA/MG;MG;DELEFAZ;1;1;28/02/2018;29
31/01/2018;DPF/GRA/PR;PR;DELEFAZ;1;1;28/02/2018;28
01/02/2018;DPF/MGA/PR;PR;DELEFAZ;7;7;28/02/2018;27
12/02/2018;SR/DPF/SC;SC;DELEFAZ;1;1;28/02/2018;16
16/02/2018;DPF/SOD/SP;SP;DELEFAZ;1;1;28/02/2018;12
19/02/2018;DPF/URA/MG;MG;DELEFAZ;2;1;28/02/2018;9
