"bairro","location","preco","quartos","m2","corretora","data","link","pm2"
"Sudoeste ","QMSW 06 COND. VILLA VERDE! PRONTO! NOVINHA! 9984.5920",236653.62,1,25,"14095",2014-01-29,"/imovel/venda-apartamento-brasilia-df-1-quarto-qmsw-06-1155380",9466.1448
"Sudoeste ","QMSW 05 OPORTUNIDADE KIT SUDOESTE COM DESCONTO 15%",237000,1,26,"15343",2014-01-14,"/imovel/venda-apartamento-brasilia-df-1-quarto-qmsw-05-866930",9115.38461538462
"Asa Norte ","SCRN 710/711 SCRN 710/11 BLOCO B",240000,1,36,"17001",2014-01-28,"/imovel/venda-apartamento-brasilia-df-1-quarto-scrn-710-711-931974",6666.66666666667
"Asa Norte ","SCRN 702/703 ",240000,1,38,"11018",2014-01-22,"/imovel/venda-apartamento-brasilia-df-1-quarto-scrn-702-703-1161951",6315.78947368421
"Sudoeste ","QMSW 04 ",240000,1,33,"8012",2014-01-15,"/imovel/venda-apartamento-brasilia-df-1-quarto-qmsw-04-1159937",7272.72727272727
"Asa Norte ","SCRN 710/711 ",240000,1,32,"6069",2013-12-23,"/imovel/venda-apartamento-brasilia-df-1-quarto-scrn-710-711-835368",7500
"Asa Norte ","SCRN 704/705 ",241956.75,1,27.11,"18456",2014-01-29,"/imovel/venda-apartamento-brasilia-df-1-quarto-scrn-704-705-1163679",8925
"Asa Norte ","SCRN 704/705 PIAZZA VITTA- ACEITA FGTS",242000,1,27,"13579",2014-01-28,"/imovel/venda-apartamento-brasilia-df-1-quarto-scrn-704-705-304211",8962.96296296296
"Sudoeste ","EQRSW 7/8 MONUMENTAL SUDOESTE 01 VAGA!",244000,1,29.7,"14999",2014-01-24,"/imovel/venda-apartamento-brasilia-df-1-quarto-eqrsw-7-8-887981",8215.48821548822
"Asa Norte ","SGAN 912 KIT 25,87, 1 VAGA COBERTA, MOBILIADA.",245000,1,26,"11000",2014-01-30,"/imovel/venda-apartamento-brasilia-df-1-quarto-sgan-912-1042173",9423.07692307692
"Asa Norte ","SGAN 912 GARAGEM 113",245000,1,26.61,"7073",2014-01-29,"/imovel/venda-apartamento-brasilia-df-1-quarto-sgan-912-667912",9207.06501315295
"Asa Norte ","SGAN 912 KIT 25,87, 1 VAGA COBERTA, MOBILIADA.",245000,1,26,"11000",2014-01-29,"/imovel/venda-apartamento-brasilia-df-1-quarto-sgan-912-1105440",9423.07692307692
"Asa Norte ","SGAN 911 ",245000,1,27,"7148",2014-01-07,"/imovel/venda-apartamento-brasilia-df-1-quarto-sgan-911-1010060",9074.07407407407
"Asa Norte ","SGAN 912 MOBILIADA E DECORADA",245000,1,25,"19568",2013-12-25,"/imovel/venda-apartamento-brasilia-df-1-quarto-sgan-912-972310",9800
"Asa Norte ","CLN 408 BLOCO A BELA KIT",250000,1,30,"218047",2014-01-27,"/imovel/venda-apartamento-brasilia-df-1-quarto-cln-408-bloco-a-1101876",8333.33333333333
"Asa Norte ","SCRN 712/713 BLOCO C EXCELENTE!  RESIDENCIAL COM ELEVADOR",250000,1,39,"14786",2014-01-22,"/imovel/venda-apartamento-brasilia-df-1-quarto-scrn-712-713-bloco-c-1003906",6410.25641025641
